Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7
Appendicitis,nausea,bloating,severe abdominal pain,vomiting,loss of appetite,fever,
Hypertension,blurred vision,headache,fatigue,,,,
Malaria,chills,nausea,sweating,,,,
Urinary Tract Infection,chills,pelvic pain,frequent urination,cloudy urine,burning urination,,
Appendicitis,fever,nausea,bloating,vomiting,,,
Asthma,coughing,shortness of breath,fatigue,chest tightness,wheezing,,
Diabetes,slow healing wounds,excessive thirst,frequent urination,,,,
Common Cold,cough,sneezing,sore throat,,,,
Tuberculosis,chest pain,weight loss,fatigue,,,,
Hepatitis B,vomiting,fatigue,dark urine,abdominal pain,,,
Pneumonia,fever,chest pain,chills,cough,fatigue,rapid breathing,
Influenza,chills,runny nose,cough,,,,
Dengue Fever,vomiting,severe headache,nausea,joint pain,muscle pain,high fever,rash
Appendicitis,nausea,vomiting,bloating,fever,loss of appetite,,
Hepatitis B,fatigue,abdominal pain,dark urine,joint pain,nausea,jaundice,
Common Cold,cough,sore throat,runny nose,,,,
Arthritis,stiffness,swelling,fatigue,,,,
Urinary Tract Infection,burning urination,pelvic pain,chills,fever,,,
Migraine,nausea,sensitivity to sound,vomiting,severe headache,,,
Influenza,cough,body aches,headache,fever,,,
Migraine,sensitivity to light,sensitivity to sound,vomiting,fatigue,,,
Dengue Fever,fatigue,joint pain,vomiting,rash,muscle pain,,
Anemia,chest pain,cold hands,weakness,shortness of breath,dizziness,fatigue,
Gastroenteritis,loss of appetite,stomach cramps,vomiting,fatigue,nausea,fever,
Malaria,chills,fatigue,vomiting,headache,,,
Arthritis,warmth in joints,joint pain,reduced range of motion,,,,
Arthritis,swelling,fatigue,reduced range of motion,,,,
Dengue Fever,severe headache,vomiting,nausea,muscle pain,high fever,,
COVID-19,loss of smell,fever,cough,loss of taste,,,
Dengue Fever,joint pain,high fever,vomiting,,,,
Malaria,chills,headache,fatigue,nausea,muscle pain,fever,
Pneumonia,chest pain,chills,fatigue,shortness of breath,,,
Anemia,shortness of breath,chest pain,weakness,cold hands,pale skin,dizziness,fatigue
Migraine,fatigue,nausea,blurred vision,,,,
Influenza,fever,fatigue,body aches,,,,
Diabetes,excessive thirst,slow healing wounds,numbness in feet,blurred vision,,,
Dengue Fever,severe headache,vomiting,fatigue,rash,muscle pain,,
Hepatitis B,vomiting,jaundice,abdominal pain,,,,
Appendicitis,nausea,severe abdominal pain,loss of appetite,bloating,fever,vomiting,
Arthritis,warmth in joints,stiffness,joint pain,reduced range of motion,fatigue,,
Influenza,sore throat,fatigue,cough,chills,body aches,fever,runny nose
Common Cold,cough,sneezing,runny nose,fatigue,,,
Hepatitis B,abdominal pain,vomiting,nausea,fatigue,jaundice,joint pain,dark urine
COVID-19,loss of smell,shortness of breath,loss of taste,fever,,,
Typhoid,constipation,loss of appetite,high fever,,,,
Hypertension,fatigue,shortness of breath,dizziness,chest pain,headache,nosebleed,
COVID-19,body aches,loss of taste,headache,loss of smell,shortness of breath,fever,
Tuberculosis,coughing up blood,persistent cough,weight loss,night sweats,fatigue,fever,
Typhoid,stomach pain,headache,rash,weakness,loss of appetite,,
Hepatitis B,dark urine,fatigue,jaundice,abdominal pain,vomiting,nausea,
Chicken Pox,blisters,loss of appetite,rash,,,,
Urinary Tract Infection,fever,chills,cloudy urine,pelvic pain,frequent urination,,
Malaria,fatigue,nausea,vomiting,fever,,,
Arthritis,fatigue,warmth in joints,joint pain,stiffness,,,
Hypertension,nosebleed,chest pain,shortness of breath,,,,
Chicken Pox,fever,fatigue,loss of appetite,blisters,,,
Tuberculosis,coughing up blood,fatigue,persistent cough,chest pain,fever,,
Asthma,fatigue,coughing,shortness of breath,wheezing,chest tightness,,
Diabetes,excessive thirst,slow healing wounds,fatigue,numbness in feet,blurred vision,frequent urination,weight loss
Hepatitis B,vomiting,abdominal pain,joint pain,jaundice,nausea,fatigue,dark urine
Arthritis,swelling,warmth in joints,stiffness,fatigue,,,
Hypertension,blurred vision,fatigue,shortness of breath,dizziness,chest pain,,
Hepatitis B,jaundice,abdominal pain,dark urine,vomiting,joint pain,nausea,fatigue
Asthma,shortness of breath,wheezing,fatigue,chest tightness,,,
Diabetes,blurred vision,frequent urination,numbness in feet,fatigue,excessive thirst,slow healing wounds,
Diabetes,slow healing wounds,weight loss,frequent urination,,,,
Anemia,shortness of breath,chest pain,cold hands,weakness,fatigue,dizziness,
Influenza,runny nose,body aches,fever,,,,
Hypertension,dizziness,chest pain,blurred vision,nosebleed,fatigue,headache,
Hepatitis B,dark urine,jaundice,fatigue,abdominal pain,joint pain,,
Pneumonia,shortness of breath,chills,cough,fever,rapid breathing,fatigue,
Pneumonia,shortness of breath,chills,fatigue,rapid breathing,chest pain,fever,cough
Hypertension,dizziness,nosebleed,shortness of breath,chest pain,blurred vision,,
Dengue Fever,rash,vomiting,nausea,joint pain,muscle pain,severe headache,fatigue
COVID-19,loss of taste,loss of smell,fever,cough,shortness of breath,body aches,
Pneumonia,chills,fever,fatigue,rapid breathing,shortness of breath,chest pain,
Appendicitis,severe abdominal pain,bloating,nausea,fever,vomiting,loss of appetite,
Tuberculosis,fever,night sweats,persistent cough,weight loss,fatigue,,
Appendicitis,loss of appetite,nausea,vomiting,severe abdominal pain,,,
Influenza,fever,runny nose,chills,body aches,fatigue,,
Influenza,headache,fever,cough,fatigue,chills,body aches,sore throat
Migraine,blurred vision,vomiting,nausea,sensitivity to sound,severe headache,sensitivity to light,
Asthma,coughing,chest tightness,wheezing,,,,
Diabetes,blurred vision,slow healing wounds,weight loss,numbness in feet,frequent urination,fatigue,
Diabetes,slow healing wounds,blurred vision,fatigue,weight loss,excessive thirst,,
Migraine,sensitivity to sound,blurred vision,fatigue,,,,
Migraine,severe headache,blurred vision,fatigue,vomiting,sensitivity to sound,nausea,
Urinary Tract Infection,chills,frequent urination,pelvic pain,,,,
Migraine,severe headache,sensitivity to light,vomiting,blurred vision,sensitivity to sound,,
Pneumonia,chest pain,cough,fever,rapid breathing,chills,shortness of breath,
Migraine,sensitivity to sound,sensitivity to light,fatigue,,,,
COVID-19,loss of smell,fatigue,fever,cough,,,
Arthritis,warmth in joints,stiffness,fatigue,,,,
Asthma,shortness of breath,coughing,fatigue,chest tightness,,,
Influenza,headache,chills,fatigue,,,,
Measles,fever,red eyes,rash,runny nose,cough,,
Typhoid,stomach pain,rash,loss of appetite,headache,weakness,constipation,
Asthma,coughing,fatigue,wheezing,chest tightness,shortness of breath,,
Dengue Fever,fatigue,severe headache,vomiting,nausea,high fever,,
Measles,cough,fever,sensitivity to light,red eyes,rash,runny nose,fatigue
COVID-19,shortness of breath,loss of taste,loss of smell,headache,cough,,
Tuberculosis,weight loss,fever,chest pain,,,,
Asthma,wheezing,shortness of breath,coughing,chest tightness,,,
Malaria,muscle pain,vomiting,sweating,,,,
Diabetes,slow healing wounds,numbness in feet,frequent urination,blurred vision,,,
Dengue Fever,joint pain,muscle pain,fatigue,nausea,vomiting,,
COVID-19,cough,loss of smell,fever,shortness of breath,fatigue,loss of taste,
Pneumonia,cough,chest pain,chills,fatigue,rapid breathing,shortness of breath,
Asthma,shortness of breath,coughing,wheezing,,,,
Tuberculosis,coughing up blood,weight loss,night sweats,chest pain,persistent cough,fatigue,fever
Chicken Pox,rash,headache,itchiness,,,,
Urinary Tract Infection,frequent urination,burning urination,cloudy urine,,,,
Influenza,cough,sore throat,headache,fever,fatigue,,
Measles,cough,rash,sensitivity to light,,,,
Appendicitis,bloating,fever,nausea,vomiting,,,
Hypertension,shortness of breath,fatigue,headache,nosebleed,chest pain,dizziness,
Appendicitis,severe abdominal pain,vomiting,bloating,,,,
Urinary Tract Infection,chills,cloudy urine,frequent urination,burning urination,pelvic pain,,
Dengue Fever,vomiting,joint pain,fatigue,rash,muscle pain,high fever,severe headache
Arthritis,stiffness,reduced range of motion,fatigue,swelling,,,
Hepatitis B,dark urine,joint pain,vomiting,,,,
Hepatitis B,fatigue,vomiting,jaundice,dark urine,joint pain,abdominal pain,
Measles,runny nose,fatigue,red eyes,fever,cough,rash,sensitivity to light
Chicken Pox,loss of appetite,fatigue,headache,,,,
Gastroenteritis,diarrhea,fatigue,fever,loss of appetite,,,
Asthma,coughing,wheezing,shortness of breath,chest tightness,,,
Gastroenteritis,stomach cramps,diarrhea,nausea,fever,vomiting,fatigue,loss of appetite
Migraine,nausea,sensitivity to sound,severe headache,sensitivity to light,blurred vision,fatigue,vomiting
Anemia,chest pain,weakness,pale skin,,,,
Appendicitis,fever,vomiting,nausea,loss of appetite,,,
Hepatitis B,abdominal pain,nausea,dark urine,fatigue,,,
COVID-19,body aches,cough,loss of smell,fatigue,headache,shortness of breath,
Pneumonia,chills,cough,rapid breathing,shortness of breath,,,
Gastroenteritis,fever,stomach cramps,nausea,fatigue,loss of appetite,vomiting,diarrhea
Typhoid,loss of appetite,headache,weakness,rash,constipation,,
Dengue Fever,fatigue,nausea,joint pain,,,,
Typhoid,loss of appetite,rash,stomach pain,constipation,,,
Hypertension,nosebleed,shortness of breath,blurred vision,fatigue,chest pain,headache,dizziness
Dengue Fever,muscle pain,rash,nausea,,,,
Common Cold,runny nose,mild fever,sneezing,,,,
COVID-19,headache,body aches,fatigue,shortness of breath,fever,loss of taste,loss of smell
Influenza,fever,body aches,chills,,,,
Diabetes,frequent urination,fatigue,slow healing wounds,,,,
Anemia,chest pain,pale skin,dizziness,fatigue,cold hands,weakness,shortness of breath
Gastroenteritis,fatigue,nausea,stomach cramps,,,,
Urinary Tract Infection,cloudy urine,burning urination,fever,chills,frequent urination,,
Malaria,headache,sweating,vomiting,fatigue,fever,muscle pain,
COVID-19,body aches,loss of taste,loss of smell,fatigue,fever,headache,shortness of breath
Tuberculosis,coughing up blood,night sweats,weight loss,persistent cough,chest pain,fever,
Gastroenteritis,nausea,vomiting,diarrhea,stomach cramps,loss of appetite,fever,
Tuberculosis,chest pain,weight loss,night sweats,persistent cough,fever,fatigue,coughing up blood
Diabetes,numbness in feet,frequent urination,fatigue,,,,
Pneumonia,cough,chest pain,rapid breathing,fever,shortness of breath,,
Diabetes,fatigue,numbness in feet,excessive thirst,blurred vision,,,
Measles,fatigue,runny nose,rash,red eyes,sensitivity to light,fever,
Influenza,headache,fever,chills,body aches,fatigue,,
Hypertension,fatigue,nosebleed,headache,dizziness,blurred vision,shortness of breath,
Tuberculosis,weight loss,coughing up blood,chest pain,fever,,,
Asthma,fatigue,wheezing,chest tightness,shortness of breath,coughing,,
Hepatitis B,dark urine,vomiting,joint pain,fatigue,,,
Hepatitis B,fatigue,nausea,dark urine,jaundice,vomiting,abdominal pain,
Measles,red eyes,runny nose,fever,sensitivity to light,fatigue,rash,cough
Dengue Fever,high fever,fatigue,nausea,muscle pain,vomiting,severe headache,rash
Arthritis,joint pain,swelling,stiffness,warmth in joints,,,
Chicken Pox,blisters,fatigue,headache,rash,fever,,
Typhoid,high fever,rash,constipation,loss of appetite,headache,stomach pain,
Hepatitis B,joint pain,dark urine,jaundice,nausea,abdominal pain,fatigue,vomiting
Influenza,body aches,fatigue,sore throat,,,,
Influenza,runny nose,body aches,sore throat,fatigue,cough,,
Anemia,fatigue,cold hands,shortness of breath,weakness,pale skin,chest pain,
Migraine,sensitivity to light,blurred vision,vomiting,sensitivity to sound,fatigue,,
Tuberculosis,weight loss,night sweats,fever,coughing up blood,fatigue,persistent cough,chest pain
Common Cold,cough,sneezing,runny nose,,,,
Urinary Tract Infection,fever,pelvic pain,frequent urination,cloudy urine,,,
Anemia,pale skin,cold hands,weakness,dizziness,,,
COVID-19,fatigue,shortness of breath,cough,body aches,loss of smell,headache,
Anemia,pale skin,chest pain,weakness,,,,
Common Cold,sore throat,cough,fatigue,,,,
Migraine,severe headache,nausea,blurred vision,,,,
Dengue Fever,rash,nausea,fatigue,,,,
Anemia,fatigue,cold hands,shortness of breath,chest pain,,,
Common Cold,congestion,runny nose,mild fever,sneezing,sore throat,cough,
Diabetes,blurred vision,frequent urination,numbness in feet,,,,
Gastroenteritis,diarrhea,loss of appetite,nausea,fever,vomiting,fatigue,
COVID-19,fever,body aches,shortness of breath,,,,
COVID-19,loss of taste,fever,cough,body aches,loss of smell,shortness of breath,
Gastroenteritis,nausea,vomiting,diarrhea,,,,
Tuberculosis,persistent cough,chest pain,night sweats,fatigue,coughing up blood,,
Influenza,headache,chills,runny nose,body aches,,,
Hypertension,fatigue,headache,nosebleed,chest pain,,,
Gastroenteritis,fatigue,diarrhea,nausea,vomiting,stomach cramps,fever,
Urinary Tract Infection,fever,pelvic pain,burning urination,frequent urination,cloudy urine,chills,
Common Cold,runny nose,sneezing,cough,sore throat,fatigue,,
Hypertension,chest pain,headache,dizziness,,,,
COVID-19,shortness of breath,fatigue,body aches,headache,loss of smell,cough,fever
Migraine,nausea,fatigue,sensitivity to sound,blurred vision,vomiting,severe headache,
Malaria,sweating,fatigue,headache,chills,,,
Chicken Pox,blisters,rash,fever,itchiness,headache,loss of appetite,fatigue
Anemia,weakness,fatigue,shortness of breath,dizziness,pale skin,,
Malaria,nausea,muscle pain,fever,sweating,headache,,
Dengue Fever,rash,severe headache,fatigue,,,,
Typhoid,stomach pain,rash,high fever,diarrhea,,,
Hepatitis B,fatigue,dark urine,jaundice,abdominal pain,nausea,vomiting,joint pain
Pneumonia,fatigue,chest pain,fever,chills,rapid breathing,,
Common Cold,cough,congestion,fatigue,sore throat,,,
Measles,red eyes,runny nose,fever,cough,rash,,
Influenza,chills,body aches,cough,runny nose,sore throat,,
COVID-19,loss of taste,shortness of breath,cough,,,,
COVID-19,shortness of breath,loss of smell,loss of taste,fever,,,
Diabetes,excessive thirst,weight loss,fatigue,numbness in feet,,,
Anemia,cold hands,dizziness,chest pain,weakness,pale skin,shortness of breath,
Malaria,vomiting,muscle pain,fever,fatigue,sweating,,
Appendicitis,vomiting,fever,severe abdominal pain,,,,
Hypertension,headache,dizziness,fatigue,shortness of breath,nosebleed,chest pain,
Influenza,fatigue,chills,cough,fever,body aches,sore throat,
Gastroenteritis,stomach cramps,nausea,fever,diarrhea,vomiting,loss of appetite,fatigue
Measles,red eyes,fever,cough,sensitivity to light,fatigue,,
Anemia,pale skin,cold hands,shortness of breath,fatigue,,,
Hepatitis B,nausea,abdominal pain,dark urine,fatigue,,,
Hepatitis B,dark urine,jaundice,vomiting,fatigue,nausea,,
Common Cold,sore throat,mild fever,sneezing,,,,
Pneumonia,shortness of breath,rapid breathing,cough,,,,
Hepatitis B,jaundice,vomiting,abdominal pain,nausea,,,
Gastroenteritis,nausea,loss of appetite,vomiting,fatigue,stomach cramps,diarrhea,fever
Hepatitis B,vomiting,dark urine,nausea,fatigue,joint pain,,
Typhoid,rash,loss of appetite,headache,,,,
Appendicitis,fever,bloating,severe abdominal pain,,,,
Typhoid,rash,loss of appetite,headache,stomach pain,weakness,diarrhea,
Dengue Fever,muscle pain,rash,fatigue,vomiting,severe headache,joint pain,
Hypertension,blurred vision,dizziness,shortness of breath,fatigue,headache,chest pain,nosebleed
Arthritis,fatigue,warmth in joints,reduced range of motion,stiffness,,,
Appendicitis,vomiting,severe abdominal pain,bloating,,,,
Chicken Pox,rash,blisters,itchiness,fatigue,loss of appetite,fever,headache
Pneumonia,fever,shortness of breath,rapid breathing,fatigue,,,
Measles,rash,fatigue,fever,red eyes,sensitivity to light,cough,runny nose
Common Cold,sore throat,runny nose,fatigue,congestion,mild fever,sneezing,cough
Anemia,cold hands,weakness,chest pain,dizziness,,,
Measles,sensitivity to light,red eyes,fatigue,runny nose,,,
Dengue Fever,joint pain,high fever,nausea,,,,
Gastroenteritis,diarrhea,fatigue,stomach cramps,vomiting,nausea,fever,
Measles,red eyes,fatigue,rash,runny nose,cough,,
COVID-19,loss of taste,headache,loss of smell,fever,,,
Migraine,vomiting,sensitivity to light,sensitivity to sound,blurred vision,severe headache,nausea,fatigue
Malaria,nausea,muscle pain,headache,fever,vomiting,fatigue,sweating
Malaria,sweating,vomiting,headache,fatigue,chills,muscle pain,fever
Hypertension,fatigue,dizziness,nosebleed,headache,shortness of breath,blurred vision,
Influenza,headache,sore throat,cough,chills,fever,,
Pneumonia,fever,shortness of breath,fatigue,cough,rapid breathing,,
Anemia,fatigue,dizziness,chest pain,cold hands,weakness,pale skin,
Tuberculosis,fever,chest pain,fatigue,weight loss,persistent cough,,
Diabetes,numbness in feet,slow healing wounds,blurred vision,frequent urination,weight loss,excessive thirst,
Hepatitis B,joint pain,jaundice,abdominal pain,,,,
Tuberculosis,night sweats,fever,chest pain,coughing up blood,fatigue,weight loss,
Malaria,sweating,headache,muscle pain,fatigue,,,
Hypertension,headache,shortness of breath,nosebleed,,,,
Typhoid,rash,loss of appetite,diarrhea,weakness,high fever,headache,
Common Cold,cough,mild fever,fatigue,sneezing,,,
Pneumonia,fever,chills,shortness of breath,cough,fatigue,rapid breathing,chest pain
Appendicitis,loss of appetite,severe abdominal pain,vomiting,,,,
Pneumonia,fever,shortness of breath,chills,fatigue,rapid breathing,chest pain,cough
Anemia,pale skin,cold hands,fatigue,shortness of breath,,,
Measles,red eyes,rash,fever,sensitivity to light,runny nose,cough,fatigue
Chicken Pox,loss of appetite,fatigue,itchiness,rash,fever,,
Tuberculosis,chest pain,coughing up blood,night sweats,weight loss,fatigue,,
Arthritis,swelling,reduced range of motion,stiffness,warmth in joints,joint pain,,
Measles,fever,sensitivity to light,runny nose,red eyes,,,
Dengue Fever,severe headache,vomiting,rash,muscle pain,,,
Malaria,muscle pain,chills,sweating,fatigue,nausea,,
Appendicitis,fever,bloating,vomiting,,,,
Dengue Fever,fatigue,rash,vomiting,,,,
Measles,rash,fatigue,fever,,,,
COVID-19,shortness of breath,fever,body aches,headache,cough,loss of taste,
Typhoid,diarrhea,weakness,high fever,,,,
Asthma,chest tightness,shortness of breath,coughing,wheezing,fatigue,,
Urinary Tract Infection,cloudy urine,frequent urination,chills,pelvic pain,,,
Gastroenteritis,loss of appetite,fatigue,stomach cramps,vomiting,nausea,,
Typhoid,stomach pain,headache,loss of appetite,constipation,weakness,high fever,diarrhea
Gastroenteritis,nausea,diarrhea,fatigue,fever,stomach cramps,vomiting,
COVID-19,headache,cough,loss of smell,,,,
Hypertension,blurred vision,shortness of breath,fatigue,chest pain,dizziness,nosebleed,
Influenza,runny nose,fatigue,cough,headache,body aches,sore throat,chills
Influenza,fever,fatigue,cough,,,,
Diabetes,fatigue,frequent urination,weight loss,slow healing wounds,excessive thirst,numbness in feet,blurred vision
Tuberculosis,weight loss,fatigue,night sweats,,,,
Common Cold,sore throat,fatigue,sneezing,mild fever,cough,congestion,
Urinary Tract Infection,fever,frequent urination,chills,cloudy urine,,,
Migraine,vomiting,severe headache,blurred vision,sensitivity to sound,fatigue,,
Common Cold,congestion,fatigue,cough,sneezing,mild fever,,
Asthma,coughing,wheezing,shortness of breath,chest tightness,fatigue,,
Asthma,fatigue,shortness of breath,chest tightness,wheezing,coughing,,
Typhoid,loss of appetite,high fever,headache,weakness,diarrhea,stomach pain,constipation
Chicken Pox,fever,blisters,loss of appetite,headache,itchiness,rash,
Tuberculosis,weight loss,persistent cough,chest pain,,,,
Migraine,fatigue,blurred vision,nausea,sensitivity to light,severe headache,sensitivity to sound,
Urinary Tract Infection,chills,fever,burning urination,pelvic pain,,,
Hypertension,dizziness,nosebleed,headache,shortness of breath,,,
Asthma,wheezing,shortness of breath,fatigue,chest tightness,,,
Measles,sensitivity to light,red eyes,fever,cough,fatigue,rash,runny nose
Malaria,nausea,chills,fatigue,sweating,vomiting,,
COVID-19,body aches,shortness of breath,fatigue,loss of taste,fever,,
Pneumonia,chills,shortness of breath,cough,rapid breathing,fever,chest pain,
Hypertension,fatigue,shortness of breath,dizziness,,,,
Diabetes,frequent urination,blurred vision,slow healing wounds,excessive thirst,numbness in feet,weight loss,
Diabetes,excessive thirst,numbness in feet,weight loss,frequent urination,blurred vision,slow healing wounds,fatigue
Measles,cough,fever,red eyes,fatigue,sensitivity to light,runny nose,rash
Hypertension,shortness of breath,blurred vision,chest pain,nosebleed,dizziness,,
Appendicitis,nausea,severe abdominal pain,loss of appetite,,,,
Influenza,cough,runny nose,headache,fatigue,sore throat,,
Asthma,shortness of breath,coughing,wheezing,fatigue,,,
Hypertension,shortness of breath,dizziness,blurred vision,fatigue,headache,chest pain,nosebleed
Chicken Pox,fatigue,headache,loss of appetite,blisters,,,
Asthma,chest tightness,shortness of breath,wheezing,,,,
Arthritis,joint pain,warmth in joints,swelling,stiffness,fatigue,,
Tuberculosis,coughing up blood,night sweats,weight loss,chest pain,fatigue,,
Typhoid,high fever,constipation,headache,loss of appetite,,,
Pneumonia,fatigue,chills,fever,cough,chest pain,rapid breathing,
Pneumonia,chills,shortness of breath,fatigue,cough,,,
Gastroenteritis,nausea,vomiting,fatigue,stomach cramps,loss of appetite,fever,
Measles,rash,fatigue,fever,red eyes,runny nose,cough,sensitivity to light
Gastroenteritis,fatigue,vomiting,diarrhea,loss of appetite,,,
Tuberculosis,night sweats,fatigue,weight loss,chest pain,,,
Measles,cough,rash,red eyes,,,,
Urinary Tract Infection,cloudy urine,chills,pelvic pain,,,,
Diabetes,excessive thirst,numbness in feet,frequent urination,,,,
Anemia,fatigue,dizziness,weakness,cold hands,chest pain,,
Malaria,nausea,sweating,fever,muscle pain,,,
Pneumonia,rapid breathing,chills,shortness of breath,chest pain,fatigue,cough,
Gastroenteritis,loss of appetite,nausea,fatigue,stomach cramps,diarrhea,fever,vomiting
Typhoid,loss of appetite,constipation,rash,weakness,,,
Dengue Fever,nausea,rash,vomiting,high fever,joint pain,fatigue,muscle pain
Gastroenteritis,nausea,stomach cramps,diarrhea,vomiting,fatigue,loss of appetite,fever
Diabetes,slow healing wounds,fatigue,frequent urination,,,,
Influenza,runny nose,sore throat,fever,,,,
Dengue Fever,joint pain,rash,fatigue,nausea,muscle pain,vomiting,high fever
Typhoid,loss of appetite,headache,high fever,rash,,,
Common Cold,sore throat,mild fever,cough,,,,
COVID-19,body aches,headache,fatigue,,,,
Influenza,chills,cough,body aches,fatigue,headache,sore throat,
Diabetes,blurred vision,weight loss,slow healing wounds,numbness in feet,frequent urination,fatigue,
Typhoid,constipation,rash,loss of appetite,high fever,weakness,headache,diarrhea
Dengue Fever,high fever,severe headache,muscle pain,fatigue,nausea,joint pain,
Chicken Pox,fever,loss of appetite,itchiness,,,,
Measles,fatigue,sensitivity to light,rash,runny nose,red eyes,cough,
Tuberculosis,chest pain,night sweats,fever,weight loss,,,
Pneumonia,chills,cough,chest pain,shortness of breath,rapid breathing,,
Hepatitis B,fatigue,joint pain,abdominal pain,,,,
Influenza,headache,sore throat,cough,runny nose,fatigue,fever,
Diabetes,excessive thirst,slow healing wounds,weight loss,frequent urination,numbness in feet,fatigue,
Typhoid,stomach pain,diarrhea,weakness,constipation,,,
Arthritis,warmth in joints,stiffness,swelling,joint pain,,,
Tuberculosis,fever,weight loss,night sweats,coughing up blood,fatigue,chest pain,
Typhoid,constipation,headache,diarrhea,stomach pain,,,
Hypertension,fatigue,chest pain,nosebleed,dizziness,,,
Hypertension,blurred vision,chest pain,nosebleed,dizziness,fatigue,shortness of breath,
Gastroenteritis,loss of appetite,diarrhea,vomiting,nausea,fever,fatigue,stomach cramps
Influenza,fever,chills,fatigue,runny nose,headache,sore throat,cough
Arthritis,warmth in joints,joint pain,stiffness,,,,
Hepatitis B,vomiting,dark urine,fatigue,nausea,jaundice,joint pain,
Migraine,sensitivity to light,blurred vision,severe headache,vomiting,fatigue,nausea,sensitivity to sound
Arthritis,reduced range of motion,warmth in joints,swelling,,,,
COVID-19,fatigue,loss of taste,shortness of breath,loss of smell,cough,,
Appendicitis,nausea,loss of appetite,fever,severe abdominal pain,vomiting,bloating,
Diabetes,weight loss,numbness in feet,blurred vision,slow healing wounds,,,
Arthritis,warmth in joints,reduced range of motion,fatigue,swelling,,,
Tuberculosis,fever,fatigue,weight loss,,,,
Anemia,chest pain,fatigue,weakness,,,,
COVID-19,fatigue,headache,shortness of breath,loss of taste,loss of smell,,
Dengue Fever,vomiting,fatigue,severe headache,joint pain,muscle pain,high fever,nausea
Pneumonia,chills,fever,fatigue,shortness of breath,chest pain,rapid breathing,
Common Cold,mild fever,fatigue,congestion,sneezing,runny nose,cough,sore throat
Hepatitis B,joint pain,abdominal pain,jaundice,dark urine,vomiting,,
Common Cold,fatigue,runny nose,sneezing,,,,
Asthma,coughing,wheezing,shortness of breath,,,,
Hepatitis B,joint pain,vomiting,jaundice,,,,
Gastroenteritis,fatigue,fever,stomach cramps,nausea,loss of appetite,,
Dengue Fever,muscle pain,rash,nausea,fatigue,severe headache,high fever,
Urinary Tract Infection,frequent urination,burning urination,chills,cloudy urine,fever,pelvic pain,
Anemia,pale skin,shortness of breath,weakness,,,,
Common Cold,fatigue,congestion,sneezing,sore throat,runny nose,mild fever,
Appendicitis,vomiting,severe abdominal pain,loss of appetite,,,,
Appendicitis,nausea,severe abdominal pain,loss of appetite,bloating,,,
Hypertension,fatigue,chest pain,dizziness,shortness of breath,nosebleed,headache,
Hypertension,shortness of breath,blurred vision,fatigue,chest pain,,,
Chicken Pox,itchiness,fever,loss of appetite,rash,headache,fatigue,
Common Cold,cough,sore throat,sneezing,runny nose,congestion,,
Anemia,dizziness,fatigue,weakness,chest pain,pale skin,,
Pneumonia,cough,fever,chills,shortness of breath,rapid breathing,,
Migraine,nausea,blurred vision,sensitivity to light,fatigue,,,
Hepatitis B,joint pain,nausea,dark urine,jaundice,abdominal pain,vomiting,
Anemia,cold hands,dizziness,pale skin,shortness of breath,chest pain,weakness,
Influenza,fever,chills,headache,cough,fatigue,,
COVID-19,loss of taste,cough,shortness of breath,,,,
Tuberculosis,persistent cough,coughing up blood,weight loss,fever,night sweats,chest pain,fatigue
Malaria,fatigue,vomiting,fever,headache,,,
Influenza,cough,fatigue,runny nose,,,,
Appendicitis,nausea,loss of appetite,severe abdominal pain,,,,
Diabetes,slow healing wounds,excessive thirst,blurred vision,numbness in feet,frequent urination,,
Typhoid,loss of appetite,weakness,constipation,headache,stomach pain,diarrhea,rash
Pneumonia,chills,chest pain,shortness of breath,cough,fever,,
Migraine,nausea,fatigue,sensitivity to light,blurred vision,severe headache,sensitivity to sound,
Common Cold,mild fever,sneezing,cough,,,,
Hypertension,shortness of breath,headache,fatigue,dizziness,chest pain,nosebleed,blurred vision
Measles,cough,fever,runny nose,rash,red eyes,,
Urinary Tract Infection,fever,frequent urination,pelvic pain,chills,burning urination,cloudy urine,
Tuberculosis,night sweats,coughing up blood,persistent cough,,,,
Typhoid,diarrhea,rash,weakness,stomach pain,,,
Urinary Tract Infection,burning urination,pelvic pain,frequent urination,cloudy urine,chills,fever,
COVID-19,fatigue,headache,fever,loss of taste,,,
Chicken Pox,rash,fatigue,loss of appetite,,,,
Common Cold,mild fever,cough,runny nose,congestion,,,
Appendicitis,bloating,loss of appetite,severe abdominal pain,,,,
Chicken Pox,rash,itchiness,fatigue,headache,blisters,,
Common Cold,cough,runny nose,sneezing,congestion,fatigue,sore throat,mild fever
Typhoid,constipation,weakness,stomach pain,diarrhea,,,
Chicken Pox,itchiness,fatigue,rash,headache,loss of appetite,,
Influenza,sore throat,fatigue,runny nose,fever,,,
Asthma,shortness of breath,wheezing,chest tightness,,,,
Diabetes,fatigue,excessive thirst,weight loss,blurred vision,frequent urination,numbness in feet,
Tuberculosis,fever,coughing up blood,night sweats,persistent cough,chest pain,fatigue,weight loss
Hepatitis B,joint pain,fatigue,abdominal pain,nausea,,,
Typhoid,high fever,weakness,diarrhea,stomach pain,,,
Hypertension,shortness of breath,chest pain,nosebleed,,,,
Pneumonia,rapid breathing,chills,chest pain,fever,,,
Diabetes,weight loss,slow healing wounds,frequent urination,,,,
